t_restframe,flux_Jy,flux_unc_Jy,filt
0.7798438873428957,0.0005048095990226902,7.28022919602051e-06,r
0.8477931643951742,0.0003743295245014148,4.990080765889429e-06,i
0.8673317021391753,0.0005953339234809732,5.555406662836182e-06,g
3.7310837328212383,0.00048754269677987353,7.749814929075818e-06,r
3.789435724283555,0.0003790557225549353,5.544841813696563e-06,g
3.7912702793636512,0.0003788249000279035,6.46745368814157e-06,g
3.8184569250039946,0.0004316252903426539,1.5180918135511275e-05,i
4.766398078136902,0.0007187504128341488,7.68529944648899e-06,r
4.805819219373827,0.0005069651063400093,7.919207167451466e-06,g
4.80675938185491,0.0004950082297164737,5.145048589042799e-06,g
5.756741648723601,0.0010104267851784585,1.144909205483937e-05,r
5.759516465008295,0.0010004383260369864,9.595204309784084e-06,r
5.772026174083669,0.0007585753181322178,8.636053224613878e-06,g
6.760993778306553,0.0010263373385472206,1.2149080373475067e-05,g
6.807134159113319,0.0013922820450004173,1.252938874760259e-05,r
7.755419377995148,0.001420107620966472,1.75829250472122e-05,g
7.794186863461716,0.0018606010283029877,2.3045913968181323e-05,r
7.7951156330647,0.0018038639911160028,2.428594291812499e-05,r
9.575761858350539,0.0027547908264313804,1.94616788928682e-05,r
9.598866376165473,0.0027108594134745614,2.4891622582066375e-05,r
9.607397285413054,0.001972904298909262,2.8759255808281235e-05,i
9.62959601728955,0.0020115184800373162,2.2636521670988178e-05,i
9.654030731124909,0.002211322332958569,2.5892385733118365e-05,g
9.67192958201189,0.0022563159992592023,1.6268483501010822e-05,g
9.697820507359292,0.0022185568702418226,3.248428324919111e-05,g
9.725098791487287,0.002186248675331145,1.7970920120836588e-05,g
9.738904220394275,0.0022415293413356294,1.9700963535110244e-05,g
9.780996948641794,0.0027451157098951702,2.824717442027448e-05,r
9.78325581554169,0.0028429556055517696,3.620687881736399e-05,r
13.577417099159632,0.0029364917038278964,3.772638325546546e-05,i
13.59121103646501,0.002924368918567923,3.2093108832110064e-05,i
13.62014049951296,0.00447121971551815,8.416057013935743e-05,r
13.621034892111975,0.004299507081256251,6.965248209758358e-05,r
13.63941531584111,0.004259923455521521,6.691530320243486e-05,r
13.64330237753509,0.004465949594424391,5.08958388311e-05,r
13.72057372715986,0.00370494296201602,3.3392697813768576e-05,g
13.72426592016944,0.003723503645783028,1.686713926251691e-05,g
13.744629998242328,0.0037309054247717543,3.253237046235079e-05,g
13.746430275503293,0.003829852102449882,5.238439823254979e-05,g
14.545745413214814,0.004653697037148955,5.241898078827175e-05,r
15.483561838848699,0.004742910955090367,4.873347163571925e-05,r
15.494477729211308,0.004652349961778319,4.2038201667446305e-05,r
15.582022904676105,0.003152912954228157,4.037920374298386e-05,i
15.61827929481251,0.0041767673462641455,2.7151798627893483e-05,g
15.622453061125569,0.004081267772617471,2.907669067541659e-05,g
15.62334735500107,0.004137968438749079,3.3163555632105044e-05,g
15.640386289016519,0.004149007734326633,2.175170661731611e-05,g
15.641280681615534,0.004155073783336715,1.8304186543025563e-05,g
15.64267953245906,0.004004970947828223,3.8469873629669116e-05,g
15.698852902631034,0.004630635436606838,3.2625056622487345e-05,r
15.699747295230049,0.004696926905079716,3.744549752055845e-05,r
15.722565207149419,0.004685221247573157,3.8276047432703345e-05,r
16.52295821280493,0.004937101273285762,2.5885217842849635e-05,r
16.573616227304,0.004861785805136076,4.824315937503147e-05,r
16.574625242516536,0.004798963260988391,4.0261970509667734e-05,r
16.604219754212945,0.0042525684126453545,3.664466422664492e-05,g
16.607453259321407,0.004257901328054723,2.573770198823058e-05,g
16.60986122456231,0.004207447096657435,3.7009162648988364e-05,g
16.631050941226267,0.004242435329369604,2.7223919967514938e-05,g
